	pearson	kendall	spearman
mean	-0.4488700430702854	-0.2665710568820327	-0.3844286598138287
std	0.9788105525266121	0.8732330346990331	0.973438117040957
min	-0.36494115997029125	-0.37618998172119217	-0.5088049658184851
25%	-0.7735132366804742	-0.5396025540395201	-0.7273313115387173
50%	-0.7244963146745235	-0.5144825316257111	-0.6929887904365528
75%	-0.5843447327645326	-0.445154553131983	-0.6094137185640378
max	0.9984540284152028	0.9984482941031256	0.9998579795219996
dif_max_abs	1.0	1.0	1.0
digit_dif_max_abs	-0.18310812374681285	-0.14681415588425994	-0.17966607192425751
gauge_lat	-0.011987203530399842	-0.026686207338583835	-0.039505241931345324
gauge_lon	0.5131305221205344	0.3743109405946262	0.5299853447349101
area_ana	-0.09179262392329308	0.08508931392035782	0.12133825256391793
area_gsim	-0.10062939727890104	0.08413207324899173	0.11961039191819534
p_mean	-0.4898980497221341	-0.2869352188755523	-0.4118692695049394
pet_mean	-0.056862631370731644	-0.0639825414941517	-0.09511544450191141
et_mean	-0.3539439169914291	-0.12664957278115554	-0.19112758379218536
aridity	0.3898292022363708	0.1706745227404025	0.25435814864098727
p_seasonality	0.20749911528452702	0.16829288526734332	0.24707410380912276
asynchronicity	-0.18966951709102262	-0.18725973971446264	-0.2727831831034415
frac_snow			
high_prec_freq	0.3401784353303766	0.1732691061951836	0.2516717938670311
high_prec_dur	0.5645334365394534	0.30282827770836895	0.43373413220145035
low_prec_freq	0.3656789491732888	0.20477323964241775	0.2982590869980555
low_prec_dur	0.12870994734745966	0.11192588466774225	0.16624291365598284
q_mean	-0.34813258664690755	-0.20268418619410244	-0.3015671413699274
runoff_ratio	-0.2927148010805757	-0.16001641018632037	-0.23972577149285737
stream_elas	0.0958715394824536	0.012762878316826647	0.020357782506694153
slope_fdc	0.02007093777578814	-0.03418531017031918	-0.0490808129229698
baseflow_index	-0.2360308523772236	-0.13885804659862924	-0.2039922703935947
hfd_mean	-0.20851895692632225	-0.25441551511000715	-0.35879214478473104
Q5	-0.19939353707562335	-0.09671021385316149	-0.15005456018641056
Q95	-0.3157962103976626	-0.18120386735813793	-0.26453581688545996
high_q_freq	0.2090071034421599	0.1541142689911201	0.22281470858437694
high_q_dur	0.19337677120934582	0.2232866246255548	0.32416147149217317
low_q_freq	0.1717260724552632	0.013037650196665706	0.02527173955092127
low_q_dur	0.1298162154799904	0.03111882673488711	0.05045585362858019
zero_q_freq	0.12456934155686643	0.17388847782389494	0.21682725546724402
elev_gauge	-0.06259762601204309	-0.029097546078894303	-0.04022176477424942
elev_mean	0.1067962073603896	0.060554954452132055	0.1015515592028308
slope_mean	0.20896743719467378	0.20267279079949452	0.3098379210936324
area	-0.11607421166447339	0.09838755678203012	0.1391352429150267
crop_perc	-0.11340415473416908	-0.0488505944372021	-0.07352148345745321
crop_mosaic_perc	-0.022183976192545814	-0.005219075863582326	-0.006797446191393366
forest_perc	0.01490473981943584	0.04114865271483794	0.06821235900721276
shrub_perc	0.10811571716751162	0.07961939532499937	0.11725676683868584
grass_perc	0.2092564016915251	0.06307438352911277	0.09059948169874489
barren_perc	0.019993747028670718	0.04182209958354518	0.053515549839615977
imperv_perc	0.023300625816551655	0.07930797518618202	0.1020855164046853
wet_perc	-0.13840408256880007	0.04354203095556806	0.06123873074193392
snow_perc	0.0219191208943794	0.11540562235351642	0.14310202682796488
dom_land_cover_perc	-0.11662218180157714	-0.0581961144875872	-0.08136756761128663
geol_class_1st_perc	-0.25041028761620004	-0.16100147449374286	-0.23448074235185076
geol_class_2nd_perc	0.18464999538972787	0.12858056964135542	0.1952147105765645
carb_rocks_perc	0.045841052132212845	0.11971008418178215	0.15752573220785496
geol_porosity	-0.13826693475325114	-0.10490389747064709	-0.16327267258869999
geol_permeability	-0.21527282402091674	-0.18915943457728354	-0.2876873324325819
sand_perc	0.07586421822160615	-0.011885430432544815	-0.02234890469793049
silt_perc	-0.0648824327564794	0.00099709702819464	0.005607155155132225
clay_perc	-0.07004397473497409	0.01132132454298714	0.014505479107074127
org_carbon_content	0.02716620166501952	0.04933052273678579	0.08112826062957373
bedrock_depth	-0.056344911423482705	-0.0560196003174033	-0.09604335527783275
water_table_depth	0.41009075643608	0.23118910724969044	0.3373314604260902
q_quality_control_perc	0.10368688770564168	0.044760146827569694	0.0603806678218368
q_stream_stage_perc	-0.03376447950902297	0.01329282479282878	0.021230449129712767
consumptive_use	0.07915131837757329	0.05041466186019076	0.07298663734673637
consumptive_use_perc	0.36757269767013	0.18129294782646374	0.267499515674526
reservoirs_vol	-0.12314762312068374	0.1381175676240409	0.1869701164887625
regulation_degree	0.1991547921490779	0.1591881722848029	0.21681767717146058
