	mean	std	min	25%	50%	75%	max	dif_max_abs	digit_dif_max_abs	gauge_name	gauge_lat	gauge_lon	area_ana	area_gsim	area_gsim_quality	p_mean	pet_mean	et_mean	aridity	p_seasonality	asynchronicity	frac_snow	high_prec_freq	high_prec_dur	high_prec_timing	low_prec_freq	low_prec_dur	low_prec_timing	q_mean	runoff_ratio	stream_elas	slope_fdc	baseflow_index	hfd_mean	Q5	Q95	high_q_freq	high_q_dur	low_q_freq	low_q_dur	zero_q_freq	elev_gauge	elev_mean	slope_mean	area	crop_perc	crop_mosaic_perc	forest_perc	shrub_perc	grass_perc	barren_perc	imperv_perc	wet_perc	snow_perc	dom_land_cover	dom_land_cover_perc	geol_class_1st	geol_class_1st_perc	geol_class_2nd	geol_class_2nd_perc	carb_rocks_perc	geol_porosity	geol_permeability	sand_perc	silt_perc	clay_perc	org_carbon_content	bedrock_depth	water_table_depth	q_quality_control_perc	q_stream_stage_perc	consumptive_use	consumptive_use_perc	reservoirs_vol	regulation_degree
33205000	-2.2726756210110267e-05	0.02521130931246674	-0.0186751594403902	-0.0106534428810078	-0.0097203167874637	-0.0030920662562565	0.0648935060746155	0.0648935060746155	1.0	fazenda_remanso	-5.7658	-45.98	3730.0	3757.069	high	3.05746	3.35445	2.44574	1.09714	-0.70282	0.3271	0.0	16.6	1.16084	djf	218.5	5.13514	jja	0.58022	0.18977	0.79434	1.15288	0.77593	192.4	0.2823	1.4486	0.15	3.0	0.0	0.0	0.0	173.0	338.0899	28.2745	3757.069	4.0937	46.5987	23.9314	25.3537	0.0	0.0	0.0	0.0226	0.0	crop_mosaic	46.5987	siliciclastic_sedimentary_rocks	84.21	basic_volcanic_rocks	15.79	0.0	0.2002	-13.7577	57.8437	14.6721	27.4835	7.0542	3382.0257	1459.6727	100.0	92.183	1.0228	0.4829	0.0	0.0
33250000	-2.168444791395517e-05	0.030325822119640182	-0.0168043569516748	-0.0140878388721563	-0.0111535394835414	-0.0081121988004062	0.0787514251010461	0.0787514251010461	1.0	barra_do_corda	-5.5006	-45.2436	13200.0	13186.4	high	2.98654	3.36161	2.37046	1.12559	-0.56847	0.32648	0.0	17.1	1.1875	djf	218.85	5.49874	jja	0.36274	0.12146	0.31389	0.71333	0.87359	194.25	0.2192	0.6623	0.0	0.0	0.0	0.0	0.0	85.0	273.4849	26.3317	13186.4	3.6345	29.0061	43.2153	23.9842	0.0	0.0043	0.0	0.1555	0.0	forest	43.2153	siliciclastic_sedimentary_rocks	87.92	basic_volcanic_rocks	8.3	0.0	0.2011	-14.2826	59.0145	14.2816	26.7004	6.4965	3178.7931	1467.1646	100.0	91.964	0.7278	0.5497	0.0	0.0
33260000	-2.161694768694354e-05	0.02873122981738904	-0.0153548570777313	-0.0134617707163172	-0.0114769658919827	-0.0081919258173836	0.0734836230130616	0.0734836230130616	1.0	santa_vitoria	-5.1019	-44.9614	15400.0	15465.18	high	3.02361	3.36452	2.39289	1.11275	-0.56455	0.32686	0.0	17.15	1.19512	djf	215.95	5.43955	jja	0.3124	0.10332	0.578	0.67796	0.86312	196.4	0.1894	0.631	0.0	0.0	0.0	0.0	0.0	59.0	259.6246	26.5292	15465.18	4.2122	29.3665	45.281	20.9544	0.0	0.0037	0.0	0.1821	0.0	forest	45.281	siliciclastic_sedimentary_rocks	87.69	basic_volcanic_rocks	7.65	0.0	0.1989	-14.3993	57.9541	14.6856	27.3564	6.4174	3178.4531	1463.6749	100.0	95.277	0.805	0.706	0.0	0.0
33270000	-2.4812664383910946e-05	0.031057864650100166	-0.0212065739727728	-0.0157600758823725	-0.0079696155797411	-0.0053731566590829	0.0806135952248083	0.0806135952248083	1.0	flores	-5.4194	-44.9278	1320.0	1332.01	high	3.16653	3.36555	2.4589	1.06285	-0.57708	0.33327	0.0	21.35	1.19944	mam	241.05	5.38058	jja	0.11534	0.03548	1.14231	2.33116		198.66667	0.0111	0.3389	5.8852	3.6129	57.27557	45.41667	0.0	105.0	212.1461	26.3259	1332.01	4.2306	29.7913	43.3702	22.5014	0.0	0.0	0.0	0.1065	0.0	forest	43.3702	siliciclastic_sedimentary_rocks	97.88	basic_volcanic_rocks	2.05	0.0	0.1879	-15.1433	58.9122	14.8174	26.2683	6.0093	2486.2883	1662.3807	95.154	90.924	0.9603	2.281	0.0	0.0
33281000	-2.0905194940942705e-05	0.025847919790675678	-0.0139656064320611	-0.0114535572545308	-0.008504433175915	-0.0061803053138525	0.0675494963397816	0.0675494963397816	1.0	pedreiras_ii	-4.57	-44.6106	24000.0	24096.01	high	3.21903	3.38986	2.50892	1.05307	-0.632	0.33	0.0	16.2	1.17818	mam	210.55	5.35751	jja	0.31074	0.09653	1.05834	1.02686	0.78875	200.95	0.1401	0.84696	1.45	4.83333	0.0	0.0	0.0	27.0	221.4075	26.0267	24096.01	5.3889	32.3671	44.9386	16.8527	0.0098	0.0027	0.0	0.4402	0.0	forest	44.9386	siliciclastic_sedimentary_rocks	85.65	mixed_sedimentary_rocks	9.1	0.0	0.1957	-14.6623	55.8779	16.0633	28.0548	6.2704	3188.4679	1350.7456	100.0	97.372	1.1981	1.0564	1033.0	37.798
33290000	-2.0538098172101157e-05	0.028242514159357853	-0.0119312428712112	-0.0108567738337028	-0.0091096433222893	-0.0081667526620364	0.0751252723581998	0.0751252723581998	1.0	bacabal	-4.2194	-44.7653	25500.0	25685.92	high	3.29953	3.39534	2.52881	1.02904	-0.65564	0.33156	0.0	15.75	1.16236	mam	206.95	5.46764	jja	0.34956	0.10594	1.32632	1.41377	0.76436	210.3	0.1315	1.05726	1.7	17.0	0.0	0.0	0.0	16.0	211.7081	25.3264	25685.92	5.0722	33.2149	44.2806	16.9963	0.0092	0.0026	0.0	0.4242	0.0	forest	44.2806	siliciclastic_sedimentary_rocks	86.52	mixed_sedimentary_rocks	8.55	0.0	0.1953	-14.6824	55.4204	16.5719	28.0038	6.3107	3207.5951	1272.347	100.0	89.555	1.2727	0.9975	1033.0	31.5199
33321000	-2.140869192893213e-05	0.03067678109148618	-0.0201312863217541	-0.0135749206518078	-0.0110754511564371	-0.0028806680129428	0.0797021815999879	0.0797021815999879	1.0	grajau_ii	-5.8222	-46.1422	4510.0	4509.103	high	3.22459	3.34504	2.53489	1.03736	-0.49437	0.3245	0.0	15.9	1.13571	djf	214.45	4.96412	jja	0.40363	0.12449	2.37956	2.80964	0.51791	194.16667	0.0496	1.5979	22.40952	4.12037	88.53019	24.41667	0.0	144.0	308.1946	23.2741	4509.103	4.7166	59.0081	17.8255	18.4476	0.0	0.0	0.0	0.0021	0.0	crop_mosaic	59.0081	siliciclastic_sedimentary_rocks	56.07	basic_volcanic_rocks	41.25	0.0	0.1497	-13.7506	54.6396	15.3882	29.9604	6.8817	3049.9405	1237.2539	99.288	97.276	0.8681	0.5892	0.0	0.0
33330000	-2.3555461333699585e-05	0.026024862051716714	-0.019196102161066	-0.0109896296321189	-0.0090710211336871	-0.006007212334397	0.0663645347578971	0.0663645347578971	1.0	fortaleza	-5.5944	-46.2403	3590.0	3610.739	high	3.3196	3.35109	2.5675	1.00948	-0.44431	0.3131	0.0	18.75	1.15741	djf	225.0	4.77707	jja	0.36038	0.107	3.16453	3.47225	0.44778	197.11111	0.0233	1.6702	55.01183	13.83333	193.22969	74.31373	0.0	124.0	245.2226	24.8559	3610.739	12.1351	35.0491	49.8206	2.9768	0.0	0.0026	0.0	0.0157	0.0	forest	49.8206	siliciclastic_sedimentary_rocks	43.91	mixed_sedimentary_rocks	42.78	0.0	0.1938	-13.6033	54.7009	15.242	30.0688	6.0578	3265.3685	1260.7314	98.07	95.154	0.7189	0.5465	0.0	0.0
33380000	-1.94829232178111e-05	0.028040749396194973	-0.0173027887401273	-0.0111735640044565	-0.0094332002916687	-0.0034237444988838	0.0731590276570778	0.0731590276570778	1.0	aratoi_grande	-3.7722	-45.2181	20300.0	20359.21	high	3.54794	3.3318	2.60187	0.93908	-0.62049	0.32227	0.0	14.1	1.18487	mam	195.0	4.80888	jja	0.4241	0.11888	1.84014	5.08194	0.59607	220.29412	0.0178	1.9726	59.12582	27.7561	166.51867	128.2	0.0	16.0	211.6917	29.4605	20359.21	6.038	45.936	40.3034	7.6793	0.0	0.0005	0.0	0.0428	0.0	crop_mosaic	45.936	siliciclastic_sedimentary_rocks	69.58	unconsolidated_sediments	11.18	0.0	0.1841	-14.2537	50.4582	17.1856	32.3536	6.8414	3611.9862	1327.9942	96.236	94.757	1.0026	0.6477	0.0	0.0
33420000	-2.2768670309655753e-05	0.028592161686711016	-0.019405949723054	-0.0110041666797935	-0.0107836699883649	-0.0044919802211712	0.0745847584343794	0.0745847584343794	1.0	mirador	-6.3708	-44.3603	6060.0	6035.279	high																																																												
