	pearson	kendall	spearman
mean	-0.35886794340112427	-0.22839697478808835	-0.3316374536092298
std	0.983744655687611	0.9096351150765817	0.9828005387896805
min	-0.41902862748679814	-0.44954627258442476	-0.5662145882714518
25%	-0.8317544240657494	-0.589287219208302	-0.7640404885834559
50%	-0.6689216318986905	-0.5580563341246858	-0.7315723414264688
75%	-0.4256149895469146	-0.4507098156273617	-0.6178867485725421
max	0.9721808320230797	0.9875163793150319	0.9890555126786414
dif_max_abs	1.0	1.0	1.0
digit_dif_max_abs	-0.20045894209803208	-0.18590435965069824	-0.22749809270550425
gauge_lat	0.07495226873352237	0.009428037810333703	-0.009008990277830751
gauge_lon	0.5695586234229647	0.4575086994412993	0.6356824228151813
area_ana	0.10997762637434348	0.03875065188951927	0.054203455181596215
area_gsim	0.11041341912950563	0.039511529406647414	0.055222776569688534
p_mean	-0.5353266533310299	-0.324340341777176	-0.4579844278106819
pet_mean	0.030752893547314662	-0.0451357171361277	-0.0819325811714968
et_mean	-0.48399174189121275	-0.1722300463094882	-0.257889052224531
aridity	0.5732710477931502	0.20795941724898168	0.30042166318612923
p_seasonality	0.15359007273329825	0.19077808074754937	0.277253749534989
asynchronicity	-0.09075760265897105	-0.20877211808350704	-0.28797554381273804
frac_snow			
high_prec_freq	0.31101510885643274	0.22746247295968286	0.3272387853178611
high_prec_dur	0.4437171738239846	0.3723044758336051	0.5260177326672254
low_prec_freq	0.346992038509235	0.2880164150371542	0.40929874561405494
low_prec_dur	0.18650650693095708	0.16750217486111008	0.24601107642713269
q_mean	-0.37797459152389473	-0.232926726494101	-0.3340489357440205
runoff_ratio	-0.3690052821625897	-0.18173860092240388	-0.2649789424596257
stream_elas	0.10365732705054365	-0.0008427577207606084	0.0011891726429124566
slope_fdc	0.13874207914147518	-0.05002750130615763	-0.07087436751261145
baseflow_index	-0.3108497805366427	-0.13856987596995074	-0.20555270210811136
hfd_mean	-0.058330641185454016	-0.2618071359931823	-0.3526825032168155
Q5	-0.21536217835709975	-0.10312054366549031	-0.15550071216066058
Q95	-0.3601022396562558	-0.22053006598040933	-0.31369204740202095
high_q_freq	0.3178635525424291	0.15043951619050602	0.22160393571596754
high_q_dur	0.28624994140151294	0.20999068407848098	0.3035453341302993
low_q_freq	0.2932298084226961	-0.0034082033681340743	0.004821001119857543
low_q_dur	0.165720758388881	0.004630626147633283	0.016289839466405755
zero_q_freq	0.24949385696162465	0.23629018054089265	0.2923657303229368
elev_gauge	-0.07953361502435372	-0.009188737933131933	-0.009974885921785826
elev_mean	0.07410995832363358	0.09732983182997047	0.15873718593137384
slope_mean	0.15022583302953202	0.2193012741926487	0.32661345454956653
area	0.11041341912950563	0.039511529406647414	0.055222776569688534
crop_perc	-0.07323877953637832	-0.03594702204808723	-0.059499392303167066
crop_mosaic_perc	0.03826363621315447	0.024907433082682232	0.038416880359673874
forest_perc	-0.09192621078867891	-0.009509517673348882	-0.010431430943319771
shrub_perc	0.1761511002644912	0.10354989370436218	0.15480201883016706
grass_perc	0.2506391391903405	0.0769026519735215	0.11004300269661318
barren_perc	0.17906891223674812	0.08476020495721658	0.11340878433684716
imperv_perc	0.011641470735729468	0.1017508037723086	0.13213384782481108
wet_perc	-0.12947979559493877	0.004522357106620906	0.005537334653368312
snow_perc	0.07556086553348634	0.08318683980342434	0.10322549071535302
dom_land_cover_perc	-0.09354476950782668	-0.014729150015495782	-0.017678875426777915
geol_class_1st_perc	-0.23671158139803114	-0.161431225600976	-0.2313364130870019
geol_class_2nd_perc	0.16301982443007515	0.13559409370034675	0.20651938178895068
carb_rocks_perc	0.013493970137408523	0.08295180617846871	0.10906645539491718
geol_porosity	-0.15929616674863273	-0.1612120494974413	-0.2482250361133756
geol_permeability	-0.14514832138806766	-0.15988639268922064	-0.24504789155382672
sand_perc	0.1415022633365533	0.030594823836902863	0.015704263392914038
silt_perc	-0.09505285127674658	-0.03917997178143071	-0.04592082682025056
clay_perc	-0.1415643418557739	-0.006818163282530407	0.0027308367746014446
org_carbon_content	-0.034446288839541636	0.05853056475334518	0.09270470530968818
bedrock_depth	0.0229044963133556	-0.015077125504972241	-0.05849019773649956
water_table_depth	0.41813047574815637	0.27885342076217506	0.3974772027406504
q_quality_control_perc	0.10040337381671723	0.03537406989150453	0.04865889782667582
q_stream_stage_perc	-0.025582487701023233	0.054167408864790344	0.08111647661918026
consumptive_use	0.09008272139014312	0.13442408149775043	0.19927280040072085
consumptive_use_perc	0.48395609838493997	0.2631095309601353	0.38122168953362456
reservoirs_vol	-0.07722742933387743	0.12264941689614434	0.16804268014818546
regulation_degree	0.2771981591107081	0.15526980153539272	0.2147410672182511
