	pearson	kendall	spearman
mean	0.42096038309786815	0.09366621633114817	0.13430185420432242
std	0.9494893997334971	0.8789650947485762	0.9791232554411538
min	-0.5384576891502588	-0.5591491128713579	-0.7252097418036909
25%	-0.6700362888598093	-0.5176530777237914	-0.6921810833845331
50%	-0.4472602964998156	-0.2890471062233607	-0.41071450387776837
75%	0.22959570287948172	0.1319890858708641	0.14003615764085883
max	0.9720439252058336	0.8168819324989619	0.9364680612678288
dif_max_abs	1.0	1.0	1.0
digit_dif_max_abs	-0.15114824327248738	-0.20352611893330805	-0.2531694159162406
gauge_lat	0.17936798417062974	0.16410975097600833	0.24083252314718406
gauge_lon	0.09245924708909938	0.12841229924161143	0.19050792894926497
area_ana	0.1614335584355883	0.00677459180931011	0.0166930838598377
area_gsim	0.1566203259063283	0.002777777777777778	0.010394398531347677
p_mean	-0.13447654042079657	-0.16863808004064046	-0.24577818029733367
pet_mean	0.2803402986033969	0.20118372173310375	0.2995201886022023
et_mean	-0.01982407039472136	-0.0006851158588993163	-0.0016670849581532496
aridity	0.15018925658416288	0.18826120052196607	0.2761877205838659
p_seasonality	0.17036990385047088	0.17713679860809048	0.2646680968609904
asynchronicity	0.15771904298685285	0.08814639355528237	0.13512060714089005
frac_snow			
high_prec_freq	-0.14290391830108548	-0.11794967860711604	-0.17629370423924387
high_prec_dur	-0.03776425377054434	0.04914297579425638	0.07162864928674112
low_prec_freq	-0.06641472172429894	-0.03952846640256734	-0.06102475098530922
low_prec_dur	0.23898493174712473	0.220074543483152	0.32114559237564494
q_mean	-0.18078383909528933	-0.157073727707699	-0.23451119802450218
runoff_ratio	-0.1912607498322958	-0.14912120925161426	-0.22186144085262088
stream_elas	-0.389841959709965	-0.27709949189829425	-0.4033397814592755
slope_fdc	-0.3890696820815781	-0.5233775566611387	-0.6898998655156197
baseflow_index	0.5071508235729124	0.46892603143574924	0.6398092819672571
hfd_mean	0.0845554374610263	0.08873588657075589	0.12995902088398403
Q5	0.27926138614674745	0.2279372686319517	0.33131976267308
Q95	-0.35879230892704056	-0.2725043497172684	-0.3902717007038697
high_q_freq	-0.20052457929716333	-0.35533605597469337	-0.49385997101967305
high_q_dur	-0.14566297122739985	-0.28684065687787785	-0.41399545440027175
low_q_freq	-0.25925355548437795	-0.47172631476057847	-0.6337565293620395
low_q_dur	-0.24754613476244314	-0.38981870259623147	-0.5466614955688215
zero_q_freq	-0.018047571617298884	-0.003684238517922681	-0.00458086374351646
elev_gauge	0.13416148987050017	0.07152981337169825	0.10713102312810485
elev_mean	0.06234493642074064	0.037592329294589506	0.055819295231313404
slope_mean	-0.14463710527710738	-0.09895063070900391	-0.1494778154217658
area	0.17153441614902967	-0.011776827488007067	-0.010674250228818346
crop_perc	-0.02146138803199294	-0.0030853794900160968	-0.009132287667880505
crop_mosaic_perc	0.0035646077373861686	-0.008829902050103176	-0.013154487772529514
forest_perc	-0.12446814135246388	-0.08388406947598016	-0.12514723308442113
shrub_perc	0.21602903609161853	0.17006260857335415	0.255028326150459
grass_perc	0.18283272171078782	0.10208596841440036	0.1382096877773937
barren_perc	0.2223395008785803	0.1644070679294668	0.21835377544953893
imperv_perc	0.015007407221887026	0.11077262918709628	0.14149438915112353
wet_perc	0.10270778804315889	0.04235372881286918	0.05871182116032407
snow_perc	-2.1574061278473527e-05	-0.026887008894284865	-0.03357928776147851
dom_land_cover_perc	-0.05657973691430189	-0.0548497856412813	-0.08465116464993218
geol_class_1st_perc	-0.028004828638043697	-0.04670613815946447	-0.06911867410450828
geol_class_2nd_perc	0.00045408253461656263	0.0347851298112073	0.053194209686729305
carb_rocks_perc	0.029644762657593138	0.01412675161958528	0.018912021309012816
geol_porosity	0.13243107076331798	-0.005057386855422237	0.007997051904568512
geol_permeability	0.20709905987128246	-0.005442676784650905	-0.004348814052238529
sand_perc	0.3726999040142815	0.24375881839699257	0.3595672228162437
silt_perc	-0.3808623614030933	-0.3037135711178774	-0.43544400343879774
clay_perc	-0.3041339034792695	-0.19767833840800347	-0.298564533997699
org_carbon_content	-0.12318856218280168	-0.10325113296272125	-0.14995285469506217
bedrock_depth	0.32875709812399223	0.22800068507944984	0.3284151881698813
water_table_depth	-0.1186756524285612	-0.04548704467436156	-0.06670736366698278
q_quality_control_perc	-0.12437785035589874	-0.039509513182869355	-0.053730169363322734
q_stream_stage_perc	0.14389727198477412	0.12634563427003948	0.1870707463764654
consumptive_use	0.020283703535198094	0.04463596330887539	0.06458300664782758
consumptive_use_perc	0.04559475643980419	0.10604013354699972	0.1538862016956052
reservoirs_vol	0.0985495011891225	-0.006493765000656496	-0.010954992280733263
regulation_degree	0.0374564390304922	-0.02372403578383417	-0.033750739630645434
