	pearson	kendall	spearman
mean	0.39155612807566736	-0.016419402924044	-0.027024386150964617
std	0.9605078402995733	0.882287341409831	0.9803247253602178
min	-0.566399852945344	-0.5804483831516184	-0.7484649402471137
25%	-0.7455280353858278	-0.5454609662801895	-0.7224437905164185
50%	-0.589500309013286	-0.28072829735587024	-0.3899140305240534
75%	0.12211448779584422	0.11604358186096482	0.11116730755035509
max	0.9688730859657944	0.8138812167532185	0.9365581818632862
dif_max_abs	1.0	1.0	1.0
digit_dif_max_abs	-0.22184749555435163	-0.2501016731375769	-0.31086299279849505
gauge_lat	0.18058193613079382	0.15837358903928048	0.23295957094902742
gauge_lon	0.08325129149003399	0.1262002386572132	0.1891629251838629
area_ana	0.12833426082166305	-0.02376710797362212	-0.026642769374226778
area_gsim	0.12392646437310412	-0.027126865165739013	-0.03251877698604189
p_mean	-0.12193153334008508	-0.14771015816573418	-0.21834015047650607
pet_mean	0.274105698416814	0.19303253753158287	0.2850069953044449
et_mean	-0.007535958630487337	0.028399606373305665	0.03809318588958965
aridity	0.15083094825836454	0.1673984139892713	0.24811724953433842
p_seasonality	0.1301426166917773	0.14968423857102242	0.22371216817818745
asynchronicity	0.17307145582631417	0.07602043129225908	0.12086313574058326
frac_snow			
high_prec_freq	-0.11275695343725267	-0.10729505888231915	-0.1599038206312241
high_prec_dur	-0.06131369263074243	0.02419892085562548	0.03712171589680053
low_prec_freq	-0.03948822116985962	-0.020335241343428054	-0.03361890091506805
low_prec_dur	0.219535693005974	0.1976239669450699	0.2912885712825512
q_mean	-0.15897023082615122	-0.13125236175461247	-0.19746701616061885
runoff_ratio	-0.17366242072924687	-0.12222294719924358	-0.18383471180583186
stream_elas	-0.37619549631519184	-0.27321117877741813	-0.3948465518996757
slope_fdc	-0.3596786184941003	-0.5010157517549493	-0.6658382080597368
baseflow_index	0.47284701549244057	0.4501518190343016	0.61551052663978
hfd_mean	0.09284809101141925	0.08775126486320854	0.12799551029361453
Q5	0.27739570976406486	0.24236591069734068	0.3428242179436032
Q95	-0.33509304717163724	-0.2457039862340902	-0.35526372604570416
high_q_freq	-0.180363508305256	-0.34500884684422845	-0.47891839329407626
high_q_dur	-0.1377980502646346	-0.29779131813656334	-0.42674147597742046
low_q_freq	-0.23418642878539905	-0.4530855281607383	-0.6098987855164331
low_q_dur	-0.2286058101619834	-0.3883730702045231	-0.539229940776176
zero_q_freq	-0.0006444776762374765	0.01698491784014873	0.021178395881541495
elev_gauge	0.14657325164553126	0.07058843971722134	0.10325339877435873
elev_mean	0.06859429260999099	0.042599811875751	0.0631094221231713
slope_mean	-0.1210471879354897	-0.07822945239955942	-0.12213937161672762
area	0.13877481568387387	-0.03996824723658527	-0.05096739189222833
crop_perc	-0.046426519415422425	-0.03420571913325406	-0.053181474396813304
crop_mosaic_perc	-0.04036796754354091	-0.047721576111482644	-0.07150467062660484
forest_perc	-0.08196956081794385	-0.04744972026032916	-0.07201332723231571
shrub_perc	0.22516221135921852	0.16360828834118996	0.24374593825896074
grass_perc	0.1772098340935524	0.08906626006783383	0.12137249650961415
barren_perc	0.24133278479156958	0.1469249133715792	0.19572698425906648
imperv_perc	0.01704910656930856	0.0944020808922407	0.12069395516415135
wet_perc	0.06742479755587362	0.017880704252331892	0.0247130499213744
snow_perc	0.0025373182452809485	-0.026083198217636848	-0.032439458530275675
dom_land_cover_perc	-0.027435784395945954	-0.029181007062815012	-0.04493390898094405
geol_class_1st_perc	0.026808556392598496	-0.01765841262562805	-0.02664552566413045
geol_class_2nd_perc	-0.030446626690179043	0.016085219085571204	0.02524709136299121
carb_rocks_perc	0.0305981600226414	0.008487132588540976	0.011354372289314007
geol_porosity	0.1194339874116404	-0.019174952837583945	-0.014879809448502552
geol_permeability	0.17476401961665264	-0.03267236549057897	-0.04407833324816898
sand_perc	0.3651637844405696	0.23941387560162497	0.3504141889442037
silt_perc	-0.36630192184759747	-0.29298528440385446	-0.42181446854686555
clay_perc	-0.3015384833516349	-0.19960798279765257	-0.2968164253053928
org_carbon_content	-0.11414373180311706	-0.09441553710560512	-0.13372630454322637
bedrock_depth	0.3084814976254309	0.2044627856525356	0.29440684844952025
water_table_depth	-0.09360511396400782	-0.030551160552628572	-0.04680016362860599
q_quality_control_perc	-0.13731106158630332	-0.04232956926074249	-0.05772722135247443
q_stream_stage_perc	0.1501530269440659	0.1304956957889456	0.19303633520650187
consumptive_use	0.008967036444237277	0.011842716993046695	0.01522013541889862
consumptive_use_perc	0.040316123865077914	0.07684653539150618	0.11207117696798523
reservoirs_vol	0.03889620083321064	-0.03238303245505596	-0.04700809627486221
regulation_degree	0.027876856702268565	-0.04386398246022762	-0.06277232683291045
