	mean	std	min	25%	50%	75%	max	dif_max_abs	digit_dif_max_abs	gauge_name	gauge_lat	gauge_lon	area_ana	area_gsim	area_gsim_quality	p_mean	pet_mean	et_mean	aridity	p_seasonality	asynchronicity	frac_snow	high_prec_freq	high_prec_dur	high_prec_timing	low_prec_freq	low_prec_dur	low_prec_timing	q_mean	runoff_ratio	stream_elas	slope_fdc	baseflow_index	hfd_mean	Q5	Q95	high_q_freq	high_q_dur	low_q_freq	low_q_dur	zero_q_freq	elev_gauge	elev_mean	slope_mean	area	crop_perc	crop_mosaic_perc	forest_perc	shrub_perc	grass_perc	barren_perc	imperv_perc	wet_perc	snow_perc	dom_land_cover	dom_land_cover_perc	geol_class_1st	geol_class_1st_perc	geol_class_2nd	geol_class_2nd_perc	carb_rocks_perc	geol_porosity	geol_permeability	sand_perc	silt_perc	clay_perc	org_carbon_content	bedrock_depth	water_table_depth	q_quality_control_perc	q_stream_stage_perc	consumptive_use	consumptive_use_perc	reservoirs_vol	regulation_degree
12400000	-6.016087016677705e-06	0.03701795267805349	-0.0345893676022413	-0.0198385637150676	-0.0098667747847407	0.0064575268243714	0.0909782343430576	0.0909782343430576	1.0	serra_do_moa	-7.4483	-73.6644	1030.0	999.6329	high																																																												
13880000	-5.8998094361498475e-06	0.1093000628989045	-0.0873109266604176	-0.055652645621023	-0.0304682678868655	-0.0042667368582558	0.2768386391791134	0.2768386391791134	1.0	canutama	-6.5389	-64.3858	236000.0	237654.6	high	5.55522	3.12795	3.86475	0.56306	0.56388	0.14555	0.0	1.75	1.0	djf	95.75	3.41355	jja	2.2888	0.41201	0.979	4.18361	0.81607	209.0	0.3955	4.6067	0.0	0.0	45.4	43.2381	0.0	43.0	189.8427	10.3691	237654.6	0.0009	1.0282	95.1955	1.4244	0.5053	0.0	0.0005	1.8453	0.0	forest	95.1955	siliciclastic_sedimentary_rocks	58.86	unconsolidated_sediments	30.13	0.0	0.1919	-11.0928	36.2074	30.6839	33.1165	15.0131	2526.3411	193.8999	100.0	100.0	0.312	0.0374	8.0	0.004
14110000	-7.172623530556397e-06	0.05908374704564073	-0.1430027540398123	0.0096555439416967	0.0186512995824782	0.0294214052347941	0.0434830724141513	0.1430027540398123	1.0	cucui	1.2153	-66.8525	74300.0	74513.71	high	8.53279	3.06426	4.30217	0.35912	-0.37261	0.13868	0.0	0.9	1.0	jja	41.7	1.75579	djf	5.86307	0.68731	0.82931	1.74231	0.81301	253.57895	1.3112	11.652	0.0	0.0	15.61412	23.92308	0.0	80.0	233.3013	21.7262	74513.71	0.0017	1.5542	90.4003	0.6471	0.0326	0.0037	0.0	7.36	0.0004	forest	90.4003	acid_plutonic_rocks	51.9	metamorphics	24.38	0.0	0.0554	-13.7294	52.6391	19.942	27.4226	24.4567	1755.7344	82.5	84.997	74.073	0.0104	0.0005	0.0	0.0
14230000	-7.27929187048952e-06	0.06303923291228411	-0.0727354847061697	-0.044082533865414	-0.0090927740197083	0.0179464835174862	0.1146539666001696	0.1146539666001696	1.0	missao_icana	1.0744	-67.5947	23600.0	23497.75	high	9.81837	2.97093	4.3223	0.30259	-0.26914	0.12715	0.0	2.45	1.04255	jja	56.9	1.6119	djf	6.97804	0.71071	0.98189	1.51743	0.81639	239.55	2.4915	12.3288	0.0	0.0	2.9	14.5	0.0	78.0	160.6365	10.1185	23497.75	0.0	1.5804	93.5936	1.2116	0.0723	0.0	0.0	3.5422	0.0	forest	93.5936	metamorphics	40.76	acid_plutonic_rocks	30.92	0.0	0.0694	-12.9105	56.0614	20.5835	23.3626	15.0053	2047.7176	7.2	80.0	81.533	0.0105	0.0004	0.0	0.0
14250000	-6.9635943288649344e-06	0.05643011727470077	-0.1243865711639791	-0.0010839914487684	0.0182742565846137	0.021915297945853	0.0721838423906691	0.1243865711639791	2.0	sao_felipe	0.3717	-67.3128	124000.0	123844.4	high	8.97833	3.03108	4.30978	0.3376	-0.3057	0.1301	0.0	0.65	1.0	jja	31.65	1.65274	djf	5.78111	0.6439	1.25387	1.5995	0.82389	246.25	1.757	10.863	0.0	0.0	6.75	19.28571	0.0	80.0	194.0205	16.425	123844.4	0.001	1.6917	91.6548	0.7297	0.0421	0.0022	0.0	5.8783	0.0002	forest	91.6548	acid_plutonic_rocks	44.23	metamorphics	28.73	0.0	0.0641	-13.3687	53.8648	20.533	25.6076	21.7934	1856.9586	39.3998	89.993	91.239	0.0105	0.0005	0.0	0.0
14260000	-6.865067106065878e-06	0.044587590226944376	-0.0439625449596216	-0.0300836314989722	-0.0237000299489977	0.0322218992563858	0.0703715151179363	0.0703715151179363	2.0	uaracu	0.4769	-69.1281	40200.0	39726.65	high	9.50349	2.98663	4.22307	0.31427	-0.28483	0.134	0.0	1.95	1.0	jja	53.65	1.91266	djf	5.31983	0.55952	0.33147	1.65955	0.79751	248.21053	1.1309	10.0653	0.0	0.0	16.81907	11.16667	0.0	85.0	215.326	10.5374	39726.65	0.0084	1.9332	93.5604	0.3872	0.0841	0.0	0.0	4.0268	0.0	forest	93.5604	siliciclastic_sedimentary_rocks	54.15	metamorphics	25.24	5.89	0.1287	-13.9088	53.0204	19.5341	27.4467	16.5533	2078.9496	5.2999	79.589	72.676	0.0105	0.0005	0.0	0.0
14280001	-6.848564540886146e-06	0.050813855967677825	-0.0432020863937642	-0.038516920869472	-0.031827510284541	0.0539159238755727	0.0823530210232142	0.0823530210232142	2.0	taraqua	0.1303	-68.5386	44300.0	43867.04	high	9.46242	2.98801	4.22936	0.31578	-0.27048	0.13053	0.0	1.65	1.0	jja	48.8	1.87692	djf	5.44826	0.57578	1.9201	1.50662	0.79733	246.1	1.3748	10.34618	0.0	0.0	12.55	13.21053	0.0	73.0	206.6952	10.3668	43867.04	0.0076	1.7931	93.6295	0.4203	0.079	0.0	0.0	4.0705	0.0	forest	93.6295	siliciclastic_sedimentary_rocks	49.04	metamorphics	22.88	5.34	0.1329	-13.7183	53.2452	19.7387	27.018	17.2327	2102.5795	8.3	89.993	90.007	0.0105	0.0005	0.0	0.0
14300000	-7.310903481444707e-06	0.07900099724668105	-0.0870390129604515	-0.0537067347761708	-0.0047675555208619	0.0191198818163377	0.1858761762007378	0.1858761762007378	1.0	pari_cachoeira	0.2494	-69.785	1970.0	1997.458	high																																																												
14330000	-6.600006600007702e-06	0.08107362764689584	-0.1040893157588791	-0.0377200045863834	-0.0126816956461178	0.0166823453874866	0.1846842900503045	0.1846842900503045	1.0	curicuriari	-0.2006	-66.8022	194000.0	193303.7	high	9.07916	3.01794	4.28757	0.3324	-0.26986	0.12491	0.0	0.35	1.0	jja	23.75	1.79924	djf	5.73984	0.6322	1.4306	1.41012	0.83283	242.1	2.0788	10.2967	0.0	0.0	3.2	10.66667	0.0	64.0	187.5934	14.0643	193303.7	0.0024	1.617	92.4099	0.6622	0.0483	0.0014	0.0	5.2587	0.0001	forest	92.4099	acid_plutonic_rocks	33.64	metamorphics	26.18	1.21	0.0871	-13.3132	53.7106	20.6235	25.6713	20.8802	1951.5816	26.3	89.993	91.677	0.0105	0.0005	0.0	0.0
14420000	-6.605107068779477e-06	0.09702026805070477	-0.0900142812282443	-0.0540197020107491	-0.0327274124395818	-0.0055720191541836	0.2115131026596426	0.2115131026596426	1.0	serrinha	-0.4819	-64.8289	293000.0	292387.1	high																																																												
