	mean	std	min	25%	50%	75%	max	dif_max_abs	digit_dif_max_abs	gauge_name	gauge_lat	gauge_lon	area_ana	area_gsim	area_gsim_quality	p_mean	pet_mean	et_mean	aridity	p_seasonality	asynchronicity	frac_snow	high_prec_freq	high_prec_dur	high_prec_timing	low_prec_freq	low_prec_dur	low_prec_timing	q_mean	runoff_ratio	stream_elas	slope_fdc	baseflow_index	hfd_mean	Q5	Q95	high_q_freq	high_q_dur	low_q_freq	low_q_dur	zero_q_freq	elev_gauge	elev_mean	slope_mean	area	crop_perc	crop_mosaic_perc	forest_perc	shrub_perc	grass_perc	barren_perc	imperv_perc	wet_perc	snow_perc	dom_land_cover	dom_land_cover_perc	geol_class_1st	geol_class_1st_perc	geol_class_2nd	geol_class_2nd_perc	carb_rocks_perc	geol_porosity	geol_permeability	sand_perc	silt_perc	clay_perc	org_carbon_content	bedrock_depth	water_table_depth	q_quality_control_perc	q_stream_stage_perc	consumptive_use	consumptive_use_perc	reservoirs_vol	regulation_degree
12400000	-6.06601032434302e-06	0.03648066126088934	-0.0343997766156341	-0.0200012493232704	-0.009415493373528	0.0067172160469137	0.089426956893752	0.089426956893752	1.0	serra_do_moa	-7.4483	-73.6644	1030.0	999.6329	high																																																												
13880000	-1.1417089098947034e-05	0.09456474593267471	-0.0907028496845345	-0.0544726928272098	-0.0260507764781265	0.0069033756208473	0.2273300536578437	0.2273300536578437	1.0	canutama	-6.5389	-64.3858	236000.0	237654.6	high	5.55522	3.12795	3.86475	0.56306	0.56388	0.14555	0.0	1.75	1.0	djf	95.75	3.41355	jja	2.2888	0.41201	0.979	4.18361	0.81607	209.0	0.3955	4.6067	0.0	0.0	45.4	43.2381	0.0	43.0	189.8427	10.3691	237654.6	0.0009	1.0282	95.1955	1.4244	0.5053	0.0	0.0005	1.8453	0.0	forest	95.1955	siliciclastic_sedimentary_rocks	58.86	unconsolidated_sediments	30.13	0.0	0.1919	-11.0928	36.2074	30.6839	33.1165	15.0131	2526.3411	193.8999	100.0	100.0	0.312	0.0374	8.0	0.004
14110000	-7.480718448234842e-06	0.05966166426891532	-0.1438226974750632	0.0132151716930533	0.0180192105040397	0.0308082930580581	0.0452589769130173	0.1438226974750632	1.0	cucui	1.2153	-66.8525	74300.0	74513.71	high	8.53279	3.06426	4.30217	0.35912	-0.37261	0.13868	0.0	0.9	1.0	jja	41.7	1.75579	djf	5.86307	0.68731	0.82931	1.74231	0.81301	253.57895	1.3112	11.652	0.0	0.0	15.61412	23.92308	0.0	80.0	233.3013	21.7262	74513.71	0.0017	1.5542	90.4003	0.6471	0.0326	0.0037	0.0	7.36	0.0004	forest	90.4003	acid_plutonic_rocks	51.9	metamorphics	24.38	0.0	0.0554	-13.7294	52.6391	19.942	27.4226	24.4567	1755.7344	82.5	84.997	74.073	0.0104	0.0005	0.0	0.0
14230000	-7.612957253255552e-06	0.06431201718639239	-0.0731347475061722	-0.0454325724329428	-0.0094944203576245	0.0213442370128031	0.1180176233836378	0.1180176233836378	1.0	missao_icana	1.0744	-67.5947	23600.0	23497.75	high	9.81837	2.97093	4.3223	0.30259	-0.26914	0.12715	0.0	2.45	1.04255	jja	56.9	1.6119	djf	6.97804	0.71071	0.98189	1.51743	0.81639	239.55	2.4915	12.3288	0.0	0.0	2.9	14.5	0.0	78.0	160.6365	10.1185	23497.75	0.0	1.5804	93.5936	1.2116	0.0723	0.0	0.0	3.5422	0.0	forest	93.5936	metamorphics	40.76	acid_plutonic_rocks	30.92	0.0	0.0694	-12.9105	56.0614	20.5835	23.3626	15.0053	2047.7176	7.2	80.0	81.533	0.0105	0.0004	0.0	0.0
14250000	-7.167996330045525e-06	0.055964046338935654	-0.1251913171164515	0.0005675690834214	0.0196816172855391	0.0218738681310158	0.0659785844276257	0.1251913171164515	2.0	sao_felipe	0.3717	-67.3128	124000.0	123844.4	high	8.97833	3.03108	4.30978	0.3376	-0.3057	0.1301	0.0	0.65	1.0	jja	31.65	1.65274	djf	5.78111	0.6439	1.25387	1.5995	0.82389	246.25	1.757	10.863	0.0	0.0	6.75	19.28571	0.0	80.0	194.0205	16.425	123844.4	0.001	1.6917	91.6548	0.7297	0.0421	0.0022	0.0	5.8783	0.0002	forest	91.6548	acid_plutonic_rocks	44.23	metamorphics	28.73	0.0	0.0641	-13.3687	53.8648	20.533	25.6076	21.7934	1856.9586	39.3998	89.993	91.239	0.0105	0.0005	0.0	0.0
14260000	-7.021682956989375e-06	0.04509024485133539	-0.0438173659703503	-0.0308036852380789	-0.0240815552725053	0.0343463065066048	0.072392057425613	0.072392057425613	2.0	uaracu	0.4769	-69.1281	40200.0	39726.65	high	9.50349	2.98663	4.22307	0.31427	-0.28483	0.134	0.0	1.95	1.0	jja	53.65	1.91266	djf	5.31983	0.55952	0.33147	1.65955	0.79751	248.21053	1.1309	10.0653	0.0	0.0	16.81907	11.16667	0.0	85.0	215.326	10.5374	39726.65	0.0084	1.9332	93.5604	0.3872	0.0841	0.0	0.0	4.0268	0.0	forest	93.5604	siliciclastic_sedimentary_rocks	54.15	metamorphics	25.24	5.89	0.1287	-13.9088	53.0204	19.5341	27.4467	16.5533	2078.9496	5.2999	79.589	72.676	0.0105	0.0005	0.0	0.0
14280001	-7.0252346428452866e-06	0.05216667287310469	-0.0485009111925598	-0.0385703272020601	-0.032226888638571	0.0555937806186506	0.0844676686125029	0.0844676686125029	2.0	taraqua	0.1303	-68.5386	44300.0	43867.04	high	9.46242	2.98801	4.22936	0.31578	-0.27048	0.13053	0.0	1.65	1.0	jja	48.8	1.87692	djf	5.44826	0.57578	1.9201	1.50662	0.79733	246.1	1.3748	10.34618	0.0	0.0	12.55	13.21053	0.0	73.0	206.6952	10.3668	43867.04	0.0076	1.7931	93.6295	0.4203	0.079	0.0	0.0	4.0705	0.0	forest	93.6295	siliciclastic_sedimentary_rocks	49.04	metamorphics	22.88	5.34	0.1329	-13.7183	53.2452	19.7387	27.018	17.2327	2102.5795	8.3	89.993	90.007	0.0105	0.0005	0.0	0.0
14300000	-7.586965593113966e-06	0.07895134169629636	-0.0873149742320623	-0.0522264587825505	-0.0043315625906678	0.0195200620524481	0.1852793249232499	0.1852793249232499	1.0	pari_cachoeira	0.2494	-69.785	1970.0	1997.458	high																																																												
14330000	-6.846032724053572e-06	0.08197218220340301	-0.1046060194179118	-0.0390703403174955	-0.0125669214093473	0.0175474159383242	0.1864623025492042	0.1864623025492042	1.0	curicuriari	-0.2006	-66.8022	194000.0	193303.7	high	9.07916	3.01794	4.28757	0.3324	-0.26986	0.12491	0.0	0.35	1.0	jja	23.75	1.79924	djf	5.73984	0.6322	1.4306	1.41012	0.83283	242.1	2.0788	10.2967	0.0	0.0	3.2	10.66667	0.0	64.0	187.5934	14.0643	193303.7	0.0024	1.617	92.4099	0.6622	0.0483	0.0014	0.0	5.2587	0.0001	forest	92.4099	acid_plutonic_rocks	33.64	metamorphics	26.18	1.21	0.0871	-13.3132	53.7106	20.6235	25.6713	20.8802	1951.5816	26.3	89.993	91.677	0.0105	0.0005	0.0	0.0
14420000	-6.7499611877554014e-06	0.09844653050075569	-0.0898630535280735	-0.0549551390139861	-0.0332668391470568	-0.005480472153531	0.2177720212244216	0.2177720212244216	1.0	serrinha	-0.4819	-64.8289	293000.0	292387.1	high																																																												
